"Have.you.ever.celebrated.Halloween.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Angel.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Athlete.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Bat.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Cat.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Character.from.a.movie.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Character.from.a.TV.show.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Clown.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Devil.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Doll.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Dinosaur.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Ghost.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Fairy.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Food.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Frankenstein.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mermaid.merman..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mouse.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Mummy.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Musician.Actor.Artist.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Ninja.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...A.pun.based.costume.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Pirate.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Police.Officer.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Politician.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Prince.Princess.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Pumpkin.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Skeleton.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Superhero.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Supervillain.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Vampire.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Witch..not.from.movie.TV.show..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Wizard..not.from.movie.TV.show..or.Washington.Wizards..","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Zombie.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Other.monster.not.listed.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Other.animal.not.listed.","Which.of.the.following.costumes.did.you.dress.up.as.for.Halloween.when.you.were.a.child...Something.else.not.listed.","Did.you.ever.go.to.haunted.houses...","Did.you.ever.go.trick.or.treating.","Why.didn.t.you.go.trick.or.treating.","Do.you.wish.you.had.gone.trick.or.treating.","How.old.were.you.when.you.started.going.trick.or.treating.","How.old.were.you.during.your.last.year.of.going.trick.or.treating.","Do.you.still.go.trick.or.treating.for.yourself.or.with.friends.","What.was.your.favorite.candy.","What.was.your.least.favorite.candy.","Why.didn.t.you.celebrate.Halloween.as.a.kid.","Each.year..do.you.usually.attend.a.Halloween.party.","Describe.Halloween.in.three.words","What.is.your.gender.","What.is.your.race.","Are.you.Hispanic.and.or.Latino.a","What.is.your.age.group.","As.a.child..was.your.birthday.between.the.start..of.school.and.Halloween..or.after.Halloween.","Which.region.of.the.US.do.you.live.in.","Do.you.still.go.trick.or.treating.for.yourself.with.friends."
"Yes","When you were 9 or younger","","","When you were 9 or younger;As an adult","","As an adult","When you were 9 or younger;As an adult","As an adult","When you were 9 or younger","","","","","","","","","","","When you were 10 to 17","","","","When you were 9 or younger","","","","","","One of these ranges, but I forget","","","","","One of these ranges, but I forget","as an older child (10-17)","Yes","","","4-6","13",NA,"reeses peanut butter cups","almond joy","","Rarely","creative spooky fun","Female","White","No","45-54","After Halloween","Midwest","No"
"Yes","","","","","","","","","","","When you were 9 or younger","When you were 10 to 17","","When you were 10 to 17","","","","","","","","","","","","When you were 9 or younger","","","When you were 9 or younger","","","As an adult","When you were 9 or younger","","When you were 9 or younger;As an adult","as an older child (10-17)","Yes","","","5","12","No","shock tarts","gumball","","Sometimes","spooky silly fun","Female","White","No","25-34","Between start of school and Halloween","I do not live in the United States",NA
"Yes","","","","","When you were 9 or younger","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17","","","When you were 9 or younger","","","When you were 9 or younger","","","","","","","","","","","When you were 10 to 17","","","","When you were 10 to 17","","","","","","","as an adult (18+)","Yes","","","4-6","13-15",NA,"Chocolate ","Peanut butter chews in the black and orange wrappers","","Rarely","I love halloween","Female","White","No","45-54","After Halloween","Southeast","No"
"Yes","","","","","","","","","","","When you were 9 or younger","","When you were 10 to 17","","","","","","","","","","","","When you were 9 or younger","","","","","","","","","","","as a younger child (9 and under);as an older child (10-17)","Yes","","","4","25","","Crunch","Anything with coconut","","Never","candy horror pumpkins","Female","Asian","No","25-34","Between start of school and Halloween","Midwest",NA
"Yes","","","","When you were 9 or younger","","","","","","","When you were 9 or younger","","","","","","","","","","","","","","","","","","","","","","","","","as an adult (18+)","Yes","","","7","9",NA,"Hershey bar","Gummies","","Rarely","My happiest holiday","Female","White","No","45-54","After Halloween","Southeast","No"
"Yes","When you were 9 or younger","","","","","","When you were 10 to 17","","","","As an adult","","One of these ranges, but I forget","","","","","","","","","","","","","","","","","When you were 9 or younger","","","","","","as a younger child (9 and under)","Yes","","","6","11",NA,"Candy corn","Gum balls","","Never","Fun happy social","Female","White","No","55+","After Halloween","West","No"
"No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Didn't live in an area that celebrates it;Religious reasons;Parents forbade it for non-religious reasons;Didn't want to","Never","candy on sale","Male","Black/African American","No","Under 18","After Halloween","Southeast",NA
"Yes","","","When you were 9 or younger","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","","When you were 9 or younger","When you were 10 to 17","","When you were 9 or younger;As an adult","","","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","When you were 9 or younger;When you were 10 to 17","","","","","When you were 9 or younger","","","","When you were 9 or younger","","as an adult (18+)","Yes","","","4","12","No","Kit Kats","Tootsie roll","","Sometimes","Cozy silly fun","Female","White","No","35-44","Between start of school and Halloween","West",NA
"Yes","","","","","When you were 9 or younger;When you were 10 to 17;As an adult","","","","","","","","","","","","","","","","","","","","","","","","When you were 9 or younger","When you were 10 to 17","","When you were 10 to 17","When you were 10 to 17","","When you were 9 or younger;When you were 10 to 17;As an adult","as a younger child (9 and under);as an older child (10-17);as an adult (18+)","Yes","","","3","14",NA,"snickers","dots","","Rarely","my favorite holiday","Female","White","No","45-54","Between start of school and Halloween","West","No"
"Yes","","","","","One of these ranges, but I forget","When you were 9 or younger","","","","","As an adult","","","","","","","When you were 9 or younger;When you were 10 to 17","","","","","When you were 10 to 17","","","","","","","","","","","","When you were 10 to 17;As an adult","as an older child (10-17)","Yes","","","4-6","10-12","No","M&Ms","Pennies","","Never","Drunk Amateur Hour","Male","White","No","25-34","After Halloween","Northeast",NA
"Yes","","","","","","","","","","","When you were 9 or younger","","","","","","","When you were 9 or younger","","","","","When you were 9 or younger","","","","When you were 9 or younger","","","","","","","","","as an adult (18+)","Yes","","","6-10","10-14",NA,"Anything chocolate","Candy corn","","Sometimes","Creative original fun","Male","White","No","55+","After Halloween","Southeast","No"
